Mg-glutamate (mM),K-glutamate (mM),Amino Acid (mM),tRNA (mg/ml),coA (mM),NAD (mM),cAMP (mM),Folinic Acid (mM),Spermidine (mM),3-PGA (mM),NTP (mM),Yield
2,40,0.15,0.02,0.078,0.165,0.225,0.034,0.3,9,0.75,12.962
2,80,1.5,0.2,0.26,0.33,0.75,0.068,1,30,1.5,0.405
2,40,0.45,0.02,0.026,0.033,0.075,0.034,0.3,15,0.75,12.133
4,80,0.45,0.1,0.078,0.033,0.075,0.034,0.5,9,1.5,17.41
4,80,0.15,0.06,0.026,0.33,0.075,0.0068,0.1,9,1.5,16.618
2,40,0.15,0.1,0.026,0.099,0.075,0.0068,0.1,9,0.75,10.691
4,80,1.5,0.2,0.26,0.165,0.075,0.068,0.1,9,1.5,21.608
4,80,1.5,0.1,0.26,0.033,0.075,0.0068,0.1,9,1.5,25.231
2,40,0.15,0.1,0.13,0.033,0.075,0.0068,0.3,9,0.15,1.186
2,80,1.5,0.06,0.026,0.33,0.075,0.068,0.1,9,1.5,20.389
4,80,0.75,0.2,0.13,0.099,0.225,0.0204,0.1,9,1.5,23.025
4,80,0.75,0.2,0.078,0.165,0.075,0.0204,0.1,9,1.5,24.873
0.4,24,0.45,0.02,0.026,0.033,0.225,0.034,0.5,15,0.45,4.039
4,80,0.15,0.1,0.026,0.033,0.075,0.0068,1,9,1.5,1.927
4,8,0.15,0.02,0.026,0.033,0.075,0.0068,0.1,3,0.15,7.058
4,80,1.5,0.2,0.026,0.099,0.375,0.0204,0.1,9,1.5,22.815
2,24,0.75,0.1,0.13,0.165,0.225,0.0068,0.1,9,0.15,0.163
4,80,0.45,0.02,0.13,0.099,0.075,0.068,0.3,9,1.5,21.244
1.2,40,0.15,0.06,0.026,0.033,0.075,0.034,0.5,3,0.45,5.999
4,80,1.5,0.02,0.026,0.165,0.075,0.0068,0.1,9,1.5,24.398
0.4,24,0.75,0.02,0.026,0.033,0.075,0.0204,0.5,3,0.75,3.295
